Điểm,Tần suất
0.25,1
0.5,2
0.75,11
1.0,8
1.25,57
1.5,94
1.75,129
1.8,1
2.0,216
2.25,306
2.33,2
2.4,3
2.42,1
2.5,456
2.58,1
2.6,4
2.71,1
2.75,609
2.8,3
3.0,865
3.17,2
3.2,4
3.25,1002
3.33,1
3.4,3
3.5,1315
3.58,3
3.6,6
3.67,3
3.75,1516
3.8,9
3.83,3
3.9,1
3.91,3
3.92,5
4.0,1930
4.08,4
4.17,4
4.2,7
4.25,2066
4.33,2
4.4,6
4.42,5
4.5,2381
4.58,3
4.6,6
4.61,1
4.62,2
4.67,13
4.68,1
4.7,1
4.73,1
4.75,2542
4.8,7
4.83,8
4.91,1
4.92,3
5.0,3313
5.08,8
5.13,1
5.16,3
5.17,12
5.2,6
5.25,3196
5.33,17
5.4,15
5.41,2
5.42,14
5.5,3752
5.58,14
5.6,23
5.66,1
5.67,13
5.75,3718
5.8,22
5.83,21
5.91,2
5.92,10
6.0,4576
6.08,15
6.13,1
6.16,7
6.17,20
6.2,38
6.25,4148
6.33,20
6.4,38
6.41,6
6.42,24
6.47,1
6.5,4793
6.58,32
6.59,1
6.6,38
6.66,2
6.67,31
6.73,1
6.75,4603
6.8,44
6.82,1
6.83,22
6.9,1
6.91,4
6.92,18
7.0,5430
7.08,23
7.1,1
7.16,2
7.17,21
7.2,46
7.25,4685
7.33,19
7.35,1
7.4,48
7.41,3
7.42,18
7.5,5613
7.57,1
7.58,15
7.6,63
7.62,1
7.66,1
7.67,9
7.73,1
7.75,5393
7.8,61
7.83,16
7.91,1
7.92,7
7.98,1
8.0,6401
8.08,13
8.12,1
8.17,2
8.2,60
8.25,5499
8.33,3
8.4,58
8.42,3
8.5,5052
8.6,57
8.67,1
8.75,3660
8.8,48
9.0,2729
9.2,44
9.25,1127
9.4,25
9.5,374
9.6,22
9.75,80
9.8,7
10.0,20
