Điểm,Tần suất
1.0,3
1.25,5
1.5,3
1.75,6
2.0,14
2.25,20
2.5,32
2.6,2
2.75,30
2.8,1
3.0,44
3.2,3
3.25,84
3.4,3
3.5,116
3.6,1
3.75,165
4.0,323
4.2,1
4.25,345
4.33,1
4.4,1
4.41,2
4.42,1
4.5,465
4.58,1
4.6,2
4.67,3
4.75,559
4.8,2
4.83,4
4.92,3
5.0,919
5.08,4
5.16,1
5.17,6
5.2,3
5.25,1093
5.31,1
5.32,1
5.33,8
5.4,1
5.41,1
5.42,8
5.5,1479
5.56,1
5.58,9
5.6,1
5.66,1
5.67,12
5.73,1
5.75,1692
5.8,2
5.83,7
5.91,1
5.92,9
6.0,2168
6.08,9
6.16,1
6.17,9
6.2,4
6.25,2084
6.33,16
6.41,2
6.42,13
6.5,2318
6.58,14
6.6,4
6.66,1
6.67,16
6.75,1963
6.8,7
6.83,13
6.9,1
6.91,1
6.92,6
7.0,2220
7.08,9
7.16,1
7.17,12
7.2,8
7.25,1604
7.3,1
7.33,4
7.4,8
7.41,2
7.42,4
7.5,1578
7.58,8
7.6,6
7.67,3
7.75,1177
7.8,7
7.83,1
7.91,1
7.92,4
8.0,1095
8.17,1
8.2,10
8.25,679
8.4,9
8.42,1
8.5,520
8.6,9
8.75,256
8.8,6
9.0,129
9.2,5
9.25,33
9.4,1
9.5,8
9.6,1
9.8,2
