Điểm,Tần suất
0.75,1
0.8,2
1.0,7
1.2,31
1.25,1
1.4,56
1.5,1
1.6,97
1.75,1
1.8,198
2.0,285
2.2,399
2.25,1
2.4,611
2.5,1
2.6,614
2.75,3
2.8,794
3.0,847
3.2,942
3.25,3
3.4,1015
3.5,2
3.6,1109
3.75,4
3.8,1177
4.0,1246
4.2,1278
4.25,3
4.4,1400
4.5,3
4.6,1541
4.75,10
4.8,1615
5.0,1718
5.17,1
5.2,1902
5.25,8
5.4,2029
5.5,10
5.6,2110
5.75,15
5.8,2324
5.92,1
6.0,2546
6.08,1
6.17,1
6.2,2663
6.25,22
6.4,3041
6.42,1
6.5,42
6.6,3233
6.75,33
6.8,3708
7.0,4103
7.08,1
7.2,4594
7.25,68
7.4,5089
7.5,110
7.6,5614
7.75,109
7.8,6005
7.83,1
8.0,6263
8.2,5867
8.25,117
8.4,5407
8.5,130
8.6,4395
8.75,71
8.8,3086
9.0,1990
9.2,971
9.25,21
9.4,461
9.5,3
9.6,172
9.8,30
10.0,6
