Điểm,Tần suất
0.4,1
0.6,3
0.8,13
1.0,32
1.2,88
1.25,1
1.4,143
1.5,6
1.6,302
1.75,7
1.8,503
2.0,817
2.2,1083
2.25,12
2.4,1428
2.5,22
2.6,1668
2.75,37
2.8,1805
3.0,2100
3.2,2100
3.25,74
3.4,2042
3.5,119
3.6,1883
3.75,139
3.8,1803
4.0,1837
4.2,1560
4.25,314
4.4,1513
4.5,407
4.6,1310
4.75,524
4.8,1336
5.0,1901
5.2,1326
5.25,740
5.4,1273
5.5,847
5.6,1241
5.75,913
5.8,1170
6.0,2123
6.2,1208
6.25,916
6.4,1223
6.5,864
6.6,1200
6.75,818
6.8,1242
7.0,2023
7.2,1285
7.25,657
7.4,1280
7.5,547
7.6,1324
7.75,521
7.8,1377
8.0,1897
8.2,1503
8.25,372
8.4,1517
8.5,325
8.6,1542
8.75,260
8.8,1482
9.0,1565
9.2,1195
9.25,129
9.4,948
9.5,64
9.6,634
9.75,16
9.8,301
10.0,88
